violation_id,n_agents,manipulator,changed_other_agents,manipulator_assignment,truthful_manipulator_pref,misreport_manipulator_pref,truthful_profile,misreport_profile,truthful_allocation,misreport_allocation
1,3,0,"1,2",2,"{0,1,2}","{2} > {0,1}","A0: {0,1,2} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {2} > {0,1} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
2,3,0,"1,2",2,"{0,1,2}",{2} > {1} > {0},"A0: {0,1,2} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {2} > {1} > {0} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
3,3,0,"1,2",2,"{0,1,2}","{0,2} > {1}","A0: {0,1,2} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {0,2} > {1} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
4,3,0,"1,2",2,"{0,1,2}",{2} > {0} > {1},"A0: {0,1,2} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {2} > {0} > {1} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
5,3,0,"1,2",2,"{0,1,2}","{2} > {0,1}","A0: {0,1,2} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0: {2} > {0,1} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
6,3,0,"1,2",2,"{0,1,2}",{2} > {1} > {0},"A0: {0,1,2} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}",A0: {2} > {1} > {0} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2},"A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
7,3,0,"1,2",2,"{0,1,2}","{0,2} > {1}","A0: {0,1,2} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0: {0,2} > {1} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
8,3,0,"1,2",2,"{0,1,2}",{2} > {0} > {1},"A0: {0,1,2} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}",A0: {2} > {0} > {1} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2},"A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
9,3,0,"1,2",2,"{0,1,2}","{2} > {0,1}","A0: {0,1,2} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0: {2} > {0,1} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
10,3,0,"1,2",2,"{0,1,2}",{2} > {1} > {0},"A0: {0,1,2} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}",A0: {2} > {1} > {0} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2},"A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
11,3,0,"1,2",2,"{0,1,2}","{0,2} > {1}","A0: {0,1,2} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0: {0,2} > {1} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
